1,"Che bella giornata per stare chiuso in ufficio tutto il giorno.",1
2,"Finalmente un po' di sole, era ora!",0
3,"Mi piace tantissimo quando il treno arriva in ritardo di 40 minuti.",1
4,"Oggi ho fatto una passeggiata, molto rilassante.",0
5,"Wow, un altro compito a sorpresa, che gioia!",1
6,"Ho cucinato la pasta ed è venuta davvero buona.",0
7,"Non vedo l’ora che inizi la riunione di 3 ore…",1
8,"Stasera esco con gli amici, finalmente!",0
9,"Perfetto, proprio quello che mi serviva: perdere pure l’autobus.",1
10,"Ho trovato un bel libro da leggere questo weekend.",0
11,"Wow, il professore ha assegnato altri tre capitoli da studiare per domani. Che gentilezza.",1
12,"Ho fatto colazione con calma stamattina, è stato davvero piacevole.",0
13,"Fantastico, oggi tutti decidono di scrivermi solo quando sto uscendo di casa.",1
14,"Sono riuscito a finire il lavoro in anticipo, finalmente una buona notizia.",0
15,"Che bello, la connessione internet ha deciso di sparire proprio durante la riunione.",1
16,"Oggi il traffico era incredibilmente scorrevole, un viaggio tranquillo.",0
17,"Meraviglioso, piove solo quando esco io. È una coincidenza incredibile.",1
18,"Ho passato un’ora a sistemare la mia stanza, ora è tutto ordinato.",0
19,"Perfetto, ho dimenticato le chiavi dentro casa. Giornata che inizia benissimo.",1
20,"Ho incontrato un vecchio amico per caso, mi ha fatto molto piacere.",0
21,"Certo, prenditi pure tutto il merito del lavoro che ho fatto io. Te lo sei proprio guadagnato.",1
22,"Mi sono preso un pomeriggio libero e ho finalmente riposato un po'.",0
23,"Oh sì, raccontami ancora quanto sei impegnato… mentre guardi TikTok da due ore.",1
24,"Stamattina ho fatto una lunga passeggiata al parco, era molto tranquillo.",0
25,"Fantastico, un’altra persona che parcheggia su due posti. Davvero un genio del volante.",1
26,"Ho preparato la cena per la mia famiglia ed è piaciuta a tutti.",0
27,"Che bello, il collega che non fa mai nulla oggi ha deciso di “aiutarmi” criticandomi.",1
28,"Ho trascorso il pomeriggio a leggere un libro che desideravo da tempo.",0
29,"Ma certo, dimmi ancora che 'non hai visto il mio messaggio'. È credibilissimo.",1
30,"Ho fatto una breve pausa e ho bevuto un tè caldo, molto rilassante.",0
31,"Che splendida idea lasciare la sveglia alle 6 anche nel weekend. Geniale davvero.",1
32,"Ho ascoltato un po’ di musica stamattina ed è stato molto rilassante.",0
33,"Oh certo, perché fare le cose con calma quando puoi farle all’ultimo secondo?",1
34,"Ho fatto una doccia calda ed è stato proprio piacevole.",0
35,"Magnifico, ho appena scoperto che la mia tessera del bus è scaduta oggi. Tempismo perfetto.",1
36,"Oggi ho preparato un dolce per i miei amici, è venuto molto bene.",0
37,"Wow, un’altra email urgente arrivata alle 19:59. Che coincidenza straordinaria.",1
38,"Sono uscito a prendere un po’ d’aria fresca, mi ha aiutato a schiarire le idee.",0
39,"Benissimo, ho aspettato mezz’ora per un caffè che sapeva di acqua calda. Spettacolare.",1
40,"Ho fatto un po’ di ordine sulla scrivania e ora è tutto più pulito.",0
41,"Ma certo, chiedimi pure quello che ti ho spiegato dieci secondi fa. Che novità.",1
42,"Ho preparato un pranzo leggero ed era davvero buono.",0
43,"Oh sì, continua a fare domande ovvie. Sono sempre una fonte infinita di sorprese.",1
44,"Ho fatto una passeggiata in centro, c’era una bella atmosfera.",0
45,"Davvero? Che scoperta incredibile, non ci sarebbe mai arrivato nessuno da solo.",1
46,"Oggi ho sistemato un cassetto che rimandavo da tempo, ora è tutto ordinato.",0
47,"Certo che no, non ho assolutamente niente da fare, dimmelo pure venti volte.",1
48,"Mi sono rilassato guardando un film tranquillo, molto piacevole.",0
49,"Wow, grazie mille per avermi chiesto l’ovvio. Giuro che non lo avevo capito.",1
50,"Ho bevuto un caffè al bar e mi ha dato una bella carica.",0
